date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-11-02,False,False,9.9,6.4
2025-11-03,False,False,7.7,1.1
2025-11-04,False,False,6.8,4.9
2025-11-05,False,False,5.7,3.6
2025-11-06,False,False,3.2,1.7
2025-11-07,False,False,3.0,3.0
2025-11-08,False,False,4.0,5.1
2025-11-09,False,False,6.9,3.4
2025-11-10,False,False,7.0,5.9
2025-11-11,False,False,7.2,3.8
2025-11-12,False,False,6.1,4.4
2025-11-13,False,False,8.2,5.5
2025-11-14,False,False,9.0,6.1
2025-11-15,False,False,8.2,5.8
2025-11-16,False,False,8.5,7.6
2025-11-17,False,False,4.8,-3.2
2025-11-18,False,False,0.6,-0.8
2025-11-19,False,False,-0.1,-5.6
2025-11-20,False,False,0.6,-7.4
2025-11-21,False,False,-1.2,-8.0
2025-11-22,False,False,-3.4,-6.0
2025-11-23,False,False,-3.4,-8.5
2025-11-24,False,False,1.2,-5.1
2025-11-25,False,False,1.9,-1.6
2025-11-26,False,False,0.7,-3.5
2025-11-27,False,False,-0.8,-3.1
2025-11-28,False,False,0.0,-4.7
2025-11-29,False,False,2.4,-3.2
2025-11-30,False,False,2.6,-0.2
2025-12-01,False,False,2.9,1.4
2025-12-02,False,False,2.0,-0.0
2025-12-03,False,False,-0.1,-0.8
2025-12-04,False,False,0.2,-0.1
2025-12-05,False,False,1.8,0.8
2025-12-06,False,False,2.6,-4.1
2025-12-07,False,False,6.6,-1.9
2025-12-08,False,True,10.0,2.3
2025-12-09,True,False,6.1,3.3
2025-12-10,True,False,6.7,2.6
2025-12-11,False,True,7.0,6.9
2025-12-12,False,False,4.9,4.3
2025-12-13,False,False,3.0,3.3
2025-12-14,False,False,2.8,2.9
2025-12-15,False,False,0.8,-0.8
2025-12-16,False,False,0.4,-3.7
2025-12-17,False,False,2.5,-2.5
2025-12-18,False,False,2.7,-0.7
2025-12-19,False,False,2.2,-1.5
2025-12-20,False,False,2.0,-0.7
2025-12-21,False,False,0.5,-5.7
2025-12-22,False,False,-0.3,-3.5
2025-12-23,False,False,0.2,-7.0
2025-12-24,False,False,-0.3,-17.9
2025-12-25,False,False,-0.6,-15.1
2025-12-26,False,False,-1.1,-10.0
2025-12-27,False,False,-1.2,-4.6
2025-12-28,False,False,-2.3,-6.0
2025-12-29,False,False,-2.5,-5.2
2025-12-30,False,False,-2.2,-7.7
2025-12-31,False,False,-3.6,-12.3
