date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-11-05,False,False,9.8,10.6
2025-11-06,False,False,9.4,10.2
2025-11-07,False,False,10.4,11.4
2025-11-08,False,False,10.6,10.7
2025-11-09,False,False,8.6,8.2
2025-11-10,False,False,9.1,8.1
2025-11-11,False,False,10.0,10.0
2025-11-12,False,False,12.0,12.5
2025-11-13,False,False,12.6,12.4
2025-11-14,False,False,11.7,11.6
2025-11-15,False,False,12.5,12.5
2025-11-16,False,True,13.4,12.3
2025-11-17,True,True,14.0,13.5
2025-11-18,False,False,9.0,3.4
2025-11-19,False,False,6.0,5.4
2025-11-20,False,False,6.3,5.0
2025-11-21,False,False,6.2,4.2
2025-11-22,False,False,4.4,-0.2
2025-11-23,False,False,3.9,1.5
2025-11-24,False,False,5.3,4.3
2025-11-25,False,False,5.2,1.9
2025-11-26,False,False,5.5,2.0
2025-11-27,False,False,5.6,1.9
2025-11-28,False,False,3.4,0.2
2025-11-29,False,False,3.2,2.5
2025-11-30,False,False,4.1,3.5
2025-12-01,False,False,6.2,5.7
2025-12-02,False,False,7.2,5.9
2025-12-03,False,False,8.5,8.5
2025-12-04,False,False,8.3,7.6
2025-12-05,False,False,8.1,7.3
2025-12-06,False,False,6.7,5.6
2025-12-07,False,False,6.2,4.8
2025-12-08,False,False,6.7,6.8
2025-12-09,False,False,6.4,7.2
2025-12-10,False,False,8.4,8.7
2025-12-11,False,False,7.6,9.4
2025-12-12,False,False,7.9,6.0
2025-12-13,False,False,6.9,5.4
2025-12-14,False,False,5.5,5.9
2025-12-15,False,False,4.4,4.6
2025-12-16,False,False,6.9,8.4
2025-12-17,False,False,8.6,8.0
2025-12-18,False,False,9.3,10.4
2025-12-19,False,False,8.8,9.7
2025-12-20,False,False,8.5,10.3
2025-12-21,False,False,8.8,9.5
2025-12-22,False,False,8.3,7.4
2025-12-23,False,False,9.2,9.0
2025-12-24,False,False,7.1,-3.9
2025-12-25,False,False,6.4,-3.2
2025-12-26,False,False,5.0,3.4
2025-12-27,False,False,4.5,1.5
2025-12-28,False,False,3.5,2.7
2025-12-29,False,False,3.3,2.2
2025-12-30,False,False,3.0,1.6
2025-12-31,False,False,2.2,-0.0
